Auger,Depth (cm),pH,EC (ds/m),Ca²⁺ (ppm),Mg²⁺ (ppm),Na⁺ (ppm),K⁺ (ppm),CaCO₃ (%),Texture,ESP,Land Capability Class,Date,T2M,RH,WS,SWGDN,Water_TDS (ppm),Water_Salinity_Class,crop recomended
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-11,16.53,76.88,4.84,13.69,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-12,15.84,68.69,4.01,13.11,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-13,16.15,55.43,3.02,13.6,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-14,16.61,72.89,2.47,11.6,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-15,16.86,63.89,1.13,11.39,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-16,16.68,70.21,3.66,9.88,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-17,17.29,76.68,5.9,9.26,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-18,16.72,73.15,4.28,12.45,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-19,16.57,74.44,2.38,10.46,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-20,16.78,77.45,2.18,11.58,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-21,16.24,82.87,3.35,6.61,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-22,16.26,80.46,3.44,14.6,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-23,15.83,81.18,5.02,12.21,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-24,16.29,82.6,2.6,14.86,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-25,16.12,74.54,3.03,14.47,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-26,15.97,76.68,4.41,13.61,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-27,16.26,73.41,3.46,14.71,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-28,15.8,76.22,3.28,10.81,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-29,15.76,72.32,4.51,15.37,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-30,15.02,68.78,2.42,16.42,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-31,15.74,73.39,3.95,16.51,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-01,15.67,74.36,3.63,15.83,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-02,15.81,73.89,2.93,13.95,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-03,15.41,83.56,2.1,11.18,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-04,16.04,75.97,2.29,15.6,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-05,15.93,69.89,8.88,11.17,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-06,14.06,62.08,10.9,9.45,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-07,15.03,61.35,7.46,9.36,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-08,14.58,60.69,4.55,10.37,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-09,14.56,67.58,5.67,10.9,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-10,14.65,64.67,6.15,13.13,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-11,14.16,64.07,6.16,14.34,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-12,14.14,64.38,7.05,16.36,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-13,14.03,66.96,6.1,17.26,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-14,14.25,67.52,3.39,18.66,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-15,14.42,73.84,3.51,17.81,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-16,15.36,66.38,2.41,18.42,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-17,15.35,64.01,5.99,17.84,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-18,16.14,69.18,3.47,16.41,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-19,15.98,74.24,4.02,16.17,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-20,14.35,74.71,7.19,12.52,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-21,13.52,63.3,6.88,13.43,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-22,13.03,62.56,7.73,13.21,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-23,13.08,64.75,5.95,13.48,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-24,13.21,60.39,6.26,17.55,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-25,12.02,61.93,2.29,19.36,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-26,13.46,59.55,2.06,16.41,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-27,14.26,66.91,2.1,20.67,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-02-28,15.04,69.52,4.45,20.2,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-01,15.08,74.22,4.28,20.6,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-02,15.31,76.33,3.6,19.88,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-03,15.23,79.6,3.22,13.83,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-04,15.52,75.53,5.35,15.82,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-05,15.47,73.13,5.68,18.99,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-06,16.54,81.42,5.39,16.27,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-07,16.44,79.83,5.67,21.56,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-08,16.15,72.93,3.84,17.7,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-09,17.15,63.77,2.51,20.52,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-10,17.23,66.57,3.83,22.03,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-11,17.77,66.76,4.69,22.03,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-12,16.89,74.26,4.74,23.19,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-13,18.66,78.53,3.13,18.07,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-14,19.61,78.07,2.36,22.72,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-15,19.07,75.7,3.84,23.94,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-16,19.8,70.83,3.03,23.9,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-17,20.75,64.38,4.94,21.01,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-18,17.77,73.22,5.98,23.59,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-19,16.53,70.89,8.4,22.17,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-20,14.55,61.34,10.94,16.05,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-21,15.21,61.28,8.26,15.16,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-22,15.02,61.18,5.26,19.94,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-23,15.66,65.95,3.58,24.96,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-24,16.56,71.21,5.51,23.6,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-25,17.95,74.82,5.8,24.33,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-26,19.19,73.43,5.36,21.31,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-27,22.54,47.14,4.1,22.08,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-28,18.01,73.81,7.23,22.52,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-29,17.62,67.61,3.73,24.34,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-30,19.14,52.04,4.55,24.54,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-03-31,22.01,38.11,8.35,19.37,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-01,19.78,53.78,5.47,19.77,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-02,18.59,56.86,6.24,22.86,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-03,18.02,70.02,4.06,25.47,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-04,17.17,71.46,2.92,25.53,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-05,18.15,67.79,4.02,25.88,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-06,18.01,73.63,4.55,25.52,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-07,18.47,69.57,4.25,18.34,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-08,18.61,74.69,4.72,23.11,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-09,17.15,78.81,6.33,23.22,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-10,15.69,66.68,6.45,24.73,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-11,15.8,70.18,6.61,22.64,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-12,17.09,65.09,3.72,26.14,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-13,16.73,71.72,7.12,26.13,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-14,16.52,67.88,4.87,27.99,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-15,17.73,67.66,3.99,25.13,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-16,17.99,67.56,4.58,28.29,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-17,18.44,70.86,4.87,26.82,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-18,19.21,67.9,3.88,28.38,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-19,19.18,73.46,3.35,27.94,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-20,19.47,72.54,2.98,27.03,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-21,22.01,62.37,3.55,23.9,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-22,23.52,60.52,2.42,24.73,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-23,20.23,76.53,6.85,22.46,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-24,19.29,76.83,5.41,16.34,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-25,18.89,75.14,4.64,27.42,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-26,18.97,72.25,3.03,24.78,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-27,19.3,70.03,3.12,27.65,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-28,18.75,72.55,3.45,27.32,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-29,19.31,69.93,5.1,20.47,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-04-30,18.61,71.97,7.55,23.27,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-01,18.61,65.72,5.18,24.85,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-02,18.5,67.47,6.33,21.09,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-03,18.66,72.19,5.3,21.09,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-04,18.52,73.95,4.44,28.12,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-05,20.3,59.39,3.0,28.16,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-06,22.43,45.1,2.91,28.22,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-07,22.81,47.8,3.52,29.02,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-08,23.71,51.12,3.64,28.34,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-09,24.63,54.15,4.45,27.95,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-10,26.59,38.13,3.85,26.7,1024.0,Medium,Cotton
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-11,24.46,53.8,5.42,23.87,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-12,21.95,66.31,4.11,28.35,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-13,23.24,62.75,6.53,24.66,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-14,20.78,73.62,4.72,28.73,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-15,20.67,65.8,2.78,24.89,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-16,24.98,50.88,5.59,24.69,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-17,22.59,70.7,6.54,21.48,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-18,20.61,79.25,5.69,24.82,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-19,20.26,75.08,5.41,29.56,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-20,20.72,67.77,5.57,29.7,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-21,20.72,74.27,5.42,28.29,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-22,21.6,71.38,4.67,30.13,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-23,23.49,60.59,3.12,30.26,1024.0,Medium,"Barley, Cotton"
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-05-24,26.51,41.88,2.2,28.44,1024.0,Medium,Cotton
